RegionHex,Log-Likelihood,Likelihood
0x2bb8,-15.2794,2.31335E-07
0x4224,-15.2797,2.31265E-07
0x0b19,-15.2802,2.3115E-07
0x1e6e,-15.2804,2.31104E-07
0x22d1,-15.2806,2.31057E-07
0x612c,-15.2807,2.31034E-07
0x3b6e,-15.2808,2.31011E-07
0x5804,-15.2815,2.30849E-07
0x1389,-15.2818,2.3078E-07
0x423f,-15.2825,2.30619E-07
0x3e01,-15.2826,2.30596E-07
0x21f0,-15.2828,2.3055E-07
0x2ada,-15.2838,2.30319E-07
0x0389,-15.2841,2.3025E-07
0x3322,-15.2843,2.30204E-07
0x3cbc,-15.2845,2.30158E-07
0x456b,-15.2846,2.30135E-07
0x0f1d,-15.2852,2.29997E-07
0x1ad6,-15.2854,2.29951E-07
0x6d34,-15.2857,2.29882E-07
0x14d1,-15.2858,2.29859E-07
0x0dbd,-15.2858,2.29859E-07
0x5131,-15.2858,2.29859E-07
0x12f2,-15.2859,2.29836E-07
0x07ec,-15.2863,2.29744E-07
0x05e0,-15.2863,2.29744E-07
0x1322,-15.2867,2.29652E-07
0x6320,-15.287,2.29583E-07
0x12ac,-15.287,2.29583E-07
0x531a,-15.2874,2.29491E-07
0x6805,-15.2878,2.294E-07
0x692f,-15.2878,2.294E-07
0x3dcb,-15.2879,2.29377E-07
0x741a,-15.288,2.29354E-07
0x04d1,-15.2881,2.29331E-07
0x4c07,-15.2881,2.29331E-07
0x0a9c,-15.2883,2.29285E-07
0x24a0,-15.2886,2.29216E-07
0x3726,-15.289,2.29125E-07
0x1edd,-15.2892,2.29079E-07
0x1e01,-15.2895,2.2901E-07
0x431a,-15.2897,2.28964E-07
0x38b9,-15.2902,2.2885E-07
0x641a,-15.2903,2.28827E-07
0x28f4,-15.2908,2.28713E-07
0x683f,-15.291,2.28667E-07
0x6963,-15.291,2.28667E-07
0x7711,-15.2912,2.28621E-07
0x413d,-15.2913,2.28598E-07
0x0b0d,-15.2913,2.28598E-07
0x708b,-15.2913,2.28598E-07
0x693a,-15.2916,2.2853E-07
0x2987,-15.2922,2.28393E-07
0x18b9,-15.2926,2.28301E-07
0x132f,-15.2931,2.28187E-07
0x2ffd,-15.2932,2.28164E-07
0x6711,-15.2935,2.28096E-07
0x15bc,-15.2936,2.28073E-07
0x608b,-15.2937,2.2805E-07
0x5521,-15.2937,2.2805E-07
0x3799,-15.2938,2.28027E-07
0x0efa,-15.2942,2.27936E-07
